row_num,species_strain,valid_name,class_order,orig_units,MIN,qou,qWkg,TC,q25Wkg,Mpg_pg,source,culture_age,comments,mass_g
1,Acetobacter aceti (Ch 31),Acetobacter aceti,Clostridia: Clostridia- μmol les 45 (5,O (1.8 × 2 WM)−1 mg hr)−1,MIN,2,0.6,30,0.42,0.75,"De Ley & Schell 1959 [BM, ellip- soid or rod-shaped 0.6-0.8×1.0-4.0 μm]",Cells incubated for 4-5 days on gelatin slants at 20 C; respiration measured for 5 hr,"Cells additionally incubated for 2-3 days at 30 C in a shaking apparatus ""occa- sionally displayed higher endogenous respiration, 13.5 μmol O (1.8 × 45 mg 2 WM)−1 hr)−1= (2.5 8.3 W/kg; this respi- ration increased exponentially during incubation",7.5e-13
2,Acholeplasma laid- lawii (NCTC 10116),Acholeplasma,Mollicutes: Achole- nmol plasmatales protein)−1,O (mg 2 min−1,MIN,1.2,1.4,37,0.61,0.04,"Abu-Amero et al. 1996 [Wieslander et al. 1987, sphere diam 0.3-0.6 μm]",Cells harvested after 24-72 hr incubation,,4e-14
3,Hydrogenomonas ruhlandii,Achromobacter,Betaproteobacteria: μl Burkholderiales DM)−1,O (0.5 mg 2 hr)−1 (2,MIN,9,15,30,10.61,0.2,"Packer & Vish- niac 1955 [rods 0.4-0.75×0.75-2.0 μm, mean 0.5×1.1 μm]",Bacteria harvested after 4-5 days' incuba- tion on agar plates; respiration of resting cells measured for 2,Hydrogen-oxidizing bacterium isolated from soil h,2e-13
4,Achromobacter sp.,Achromobacter sp.,Betaproteobacteria: μmol Burkholderiales mg hr)−1,O (100 2 DM)−1 (2,MIN,45.1,8.4,30,5.94,0.6,"Gronlund & Campbell 1961 [Chester & Coo- per 1979, 0.5- 0.8×1.5-2.5 μm]",cells harvested after hr growth; respiration measured for 2 hr,20 Classification and size determination made for the Achromobacter genus as described at www.bacterio.cict.fr. There is no such species at www.bacterio.cict.fr,6e-13
5,Achromobacter sp. (B8),Achromobacter sp.,Betaproteobacteria: μl Burkholderiales DM)−1,O (5 mg 2 hr)−1 (2,,200,35,30,24.75,0.6,"Tomlinson & Campbell 1963 [Chester & Coo- per 1979, 0.5- 0.8×1.5-2.5 μm]",cells harvested after hr growth; respiration measured for 2 hr,20 No drop of respiration during the first two hours Classification and size determination made for the Achromobacter genus as described at www.bacterio.cict.fr. There is no such species at www.bacterio.cict.fr,6e-13
6,Achromobacter viscosus (ATCC 12448),Achromobacter,Betaproteobacteria: μl Burkholderiales DM)−1,O (5 mg 2 hr)−1 (2,MIN,200,35,30,24.75,0.6,"Tomlinson & Campbell 1963 [Chester & Coo- per 1979, 0.5- 0.8×1.5-2.5 μm]",cells harvested after hr growth; respiration measured for 2 hr,20 No drop of respiration during the first two hours Classification and size determination made for the Achromobacter genus as described at www.bacterio.cict.fr. There is no such species at www.bacterio.cict.fr,6e-13
7,Achromobacter xerosis (ATCC 14780),Achromobacter,Betaproteobacteria: μl Burkholderiales DM)−1,O (mg 2 hr−1,MIN,14,23,30,16.26,0.5,"Jurtshuk & McQuitty 1976 [Groupé et al. 1954, 0.5×2-3 μm]",Cells harvested at late-logarithmic growth phase (two thirds of the maximal growth concentration),the Classification and size determination made for the Achromobacter genus as described at www.bacterio.cict.fr. There is no such species at www.bacterio.cict.fr,5e-13
8,Hydrogenomonas facilis,Acidovorax facilis,Betaproteobacteria: μl Burkholderiales DM)−1,O (mg 2 hr−1,MIN,4-11,7,30,4.95,0.3,"Schatz & Bovell 1952 [rods, 0.4×2.5 μm in heterotrophic cultures, 0.3×2.0 in autotrophic cultures]","Heterotrophic cultures: cells grown for 48, 21, 72, and 48 hr on lac- tate, succinate, glucose and tryptose, respec- tively.",Synonym Pseudomonas facilis,3e-13
9,Acinetobacter cal- coaceticus (ATCC 19606),Acinetobacter,Gammaproteobacteria: μl Pseudomonadales DM)−1,O (mg 2 hr−1,MIN,4,12,30,8.49,2,"Jurtshuk & McQuitty 1976 [BM, genus, rods 0.9-1.6× 1.5-2.5]",Cells harvested at late-logarithmic growth phase (two thirds of the maximal growth concentration),the,2e-12
10,Acinetobacter calcoaceticus (208),Acinetobacter,Gammaproteobacteria: μl Pseudomonadales DM)−1,O (mg 2 hr−1,MIN,7,6.7,30,4.74,2,"Jurtshuk & McQuitty 1976 [BM, genus, rods 0.9-1.6× 1.5-2.5]",Cells harvested at late-logarithmic growth phase (two thirds of the maximal growth concentration),the,2e-12
11,Acinetobacter johnsonii (210A),Acinetobacter,Gammaproteobacteria: nmol protein)−1 Pseudomonadales,O (mg 2 min−1,MIN,41,46,30,32.53,2,"van Veen et al. 1993 [BM, genus, rods 0.9-1.6× 1.5- 2.5]",Cells harvested at logarithmic phase,"the When starved for 12 hours, respiration decreases to ""very low rates"" but when glucose is added, returns back to the higher level indicating no loss of viabil- ity. This suggests that 41 W/kg is an overestimate.",2e-12
12,Acinetobacter cal- coaceticus (ATCC 31012),Acinetobacter sp.,Gammaproteobacteria: μl Pseudomonadales DM)−1,O (mg 2 hr−1,MIN,2.0,3.3,25,3.30,2,"Bruheim et al. 1999 [BM, genus, rods 0.9-1.6× 1.5- 2.5]",Cells grown to early stationary phase on oil,the,2e-12
13,Acinetobacter sp.,Acinetobacter sp.,Gammaproteobacteria: μl Pseudomonadales DM)−1,O (4 mg 2 min−1,MIN,0.25,6,30,4.24,2,"Sparnins et al. 1974 [BM, genus, rods 0.9-1.6× 1.5- 2.5]",Bacteria grown over- night to the stationary phase (Dagley & Gib- son 1975),"Gram-negative, oxidase-negative coc- cobacillus that cannot utilize glucose was isolated from agricultural soil in St. Paul, Minnesota, USA and tentatively identified as Acinetobacter sp.",2e-12
